"index","country_code","country","continent"
"0","AFG","Afghanistan","Asia"
"1","AGO","Angola","Africa"
"2","ALB","Albania","Europe"
"3","AND","Andorra","Europe"
"4","ARE","United Arab Emirates","Asia"
"5","ARG","Argentina","South America"
"6","ARM","Armenia","Asia"
"7","ATG","Antigua and Barbuda","North America"
"8","AUS","Australia","Oceania"
"9","AUT","Austria","Europe"
"10","AZE","Azerbaijan","Asia"
"11","BDI","Burundi","Africa"
"12","BEL","Belgium","Europe"
"13","BEN","Benin","Africa"
"14","BFA","Burkina Faso","Africa"
"15","BGD","Bangladesh","Asia"
"16","BGR","Bulgaria","Europe"
"17","BHR","Bahrain","Asia"
"18","BHS","Bahamas","North America"
"19","BIH","Bosnia and Herzegovina","Europe"
"20","BLR","Belarus","Europe"
"21","BLZ","Belize","North America"
"22","BOL","Bolivia, Plurinational State of","South America"
"23","BRA","Brazil","South America"
"24","BRB","Barbados","North America"
"25","BRN","Brunei Darussalam","Asia"
"26","BTN","Bhutan","Asia"
"27","BWA","Botswana","Africa"
"28","CAF","Central African Republic","Africa"
"29","CAN","Canada","North America"
"30","CHE","Switzerland","Europe"
"31","CHL","Chile","South America"
"32","CHN","China","Asia"
"33","CIV","Côte d'Ivoire","Africa"
"34","CMR","Cameroon","Africa"
"35","COD","Congo, The Democratic Republic of the","Africa"
"36","COG","Congo","Africa"
"37","COL","Colombia","South America"
"38","COM","Comoros","Africa"
"39","CPV","Cabo Verde","Africa"
"40","CRI","Costa Rica","North America"
"41","CUB","Cuba","North America"
"42","CYP","Cyprus","Europe"
"43","CZE","Czechia","Europe"
"44","DEU","Germany","Europe"
"45","DJI","Djibouti","Africa"
"46","DMA","Dominica","North America"
"47","DNK","Denmark","Europe"
"48","DOM","Dominican Republic","North America"
"49","DZA","Algeria","Africa"
